"reg";"Acte CCAM + phase";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"AAFA0020";"36";".";"19.4242424242424"
"01";"AAQM0020";"2129";".";"26.8441108545034"
"01";"AAQP0030";"29";".";"43.5"
"01";"AAQP0060";"217";"66";"8.61780104712042"
"01";"AAQP0070";"1410";"111";"10.8799682034976"
"01";"AAQP0110";"604";".";"25.6162790697674"
"01";"ABCA0020";"17";".";"23.6875"
"01";"ABCB0010";"33";".";"16.774193548387"
"01";"ABJA0020";"48";".";"23.1086956521739"
"01";"ABJA0030";"65";".";"13.1774193548387"
"01";"ABJA0060";"18";".";"7.8125"
"01";"ABLB0030";"19";".";"26.4615384615384"
"01";"ABQP0010";"161";".";"26.75"
"01";"ACQH0010";"62";".";"12.0327868852459"
"01";"ACQH0020";"68";".";"23.2878787878787"
"01";"ACQH0030";"1192";"64";"16.9936421435059"
"01";"ACQH0040";"185";".";"13.1460674157303"
"01";"ACQJ0010";"467";"12";"14.076923076923"
"01";"ACQJ0020";"987";"190";"14.5011261261261"
"01";"ACQK0010";"6593";"242";"12.5841139003372"
"01";"ACQN0010";"1197";"198";"14.3727915194346"
"01";"ACQN0040";"207";"26";"13.560606060606"
"01";"ACQP0020";"55";".";"16.7058823529411"
"01";"AEQM0010";"31";".";"19.8571428571428"
"01";"AFFA0100";"49";".";"14.1020408163265"
"01";"AFHB0020";"527";"118";"12.7239263803681"
"01";"AFLB0010";"14";".";"5.92307692307692"
"01";"AFLB0030";"27";".";"1.77777777777777"
"01";"AFLB0060";"50";"39";"1.21739130434782"
"01";"AFLB0070";"205";".";"4.74774774774774"
"01";"AFLB0080";"45";".";"6.93333333333333"
"01";"AFLB0100";"5991";".";"4.91929885456438"
"01";"AFLB0170";"103";"55";"3.95833333333333"
"01";"AFLH0010";"151";"145";"0.08053691275167"
"01";"AFPA0010";"16";".";"27.4666666666666"
"01";"AGLB0010";"1366";"1042";"0.95902883156297"
"01";"AGMA0010";"11";".";"15.5454545454545"
"01";"AHCA0090";"19";".";"3.73684210526315"
"01";"AHCA0120";"21";".";"3.19047619047619"
"01";"AHCA0160";"11";".";"4.63636363636363"
"01";"AHCA0180";"23";".";"1.86363636363636"
"01";"AHCA0230";"56";".";"1.56363636363636"
"01";"AHLB0010";"43";".";"4"
"01";"AHLB0060";"20";".";"1.11111111111111"
"01";"AHLB0090";"46";".";"6.56521739130434"
"01";"AHLH0140";"760";"696";"0.4558629776021"
"01";"AHPA0090";"1131";"992";"0.24269264836138"
"01";"AHPA0220";"88";"61";"0.90804597701149"
"01";"AHPA0280";"112";"82";"0.4"
"01";"AHPC0010";"107";"102";"0.04716981132075"
"01";"AHQB0240";"79";".";"4.0506329113924"
"01";"AHQB0250";"35";".";"9.3235294117647"
"01";"AHQB0260";"12";".";"26.6666666666666"
"01";"AHQB0320";"167";".";"4.10843373493975"
"01";"AHQB0330";"532";".";"4.38899430740038"
"01";"AHQE0020";"36";".";"4.97222222222222"
"01";"AHQJ0210";"3034";"1977";"1.23941798941798"
"01";"AHQP0030";"130";".";"6.89922480620155"
"01";"AHQP0110";"138";"42";"5.86861313868613"
"01";"ALQP0030";"1132";"960";"0.96434937611408"
"01";"ALQP0050";"460";"445";"0.76043956043956"
"01";"ALQP0060";"1450";"1084";"1.40984793627805"
"01";"AMQP0090";"21";".";"1.09523809523809"
"01";"AMQP0120";"57";".";"1.05263157894736"
"01";"AMQP0140";"80";".";"1.94936708860759"
"01";"ANMP0010";"350";".";"12.2780748663101"
"01";"AZQX0050";"34";".";"15.21875"
"01";"AZRP0010";"56";"49";"0"
"01";"BABA0010";"16";".";"1.3125"
"01";"BACA0050";"15";".";"4.14285714285714"
"01";"BAEA0010";"11";".";"0.9"
"01";"BAEA0020";"12";"11";"0"
"01";"BAFA0050";"28";"26";"0.10714285714285"
"01";"BAFA0060";"43";"39";"0.13953488372093"
"01";"BAFA0080";"14";"13";"0.14285714285714"
"01";"BAFA0090";"25";"14";"0.72"
"01";"BAFA0140";"14";".";"0.64285714285714"
"01";"BAFA0150";"11";".";"0.63636363636363"
"01";"BAMA0040";"25";".";"0.52173913043478"
"01";"BBCA0030";"18";".";"2.33333333333333"
"01";"BBCE0010";"29";".";"1.44444444444444"
"01";"BBLD0010";"17";".";"1.125"
"01";"BBLD0030";"24";"13";"0.91304347826086"
"01";"BCFA0030";"927";"888";"0.0556161395856"
"01";"BCFA0040";"53";"44";"0.32075471698113"
"01";"BCFA0050";"145";"143";"0.00694444444444"
"01";"BCFA0080";"25";"16";"1.79166666666666"
"01";"BCLB0010";"22";"17";"0.86363636363636"
"01";"BDCA0040";"17";".";"3.05882352941176"
"01";"BDFA0020";"92";"91";"0"
"01";"BDHP0010";"55";".";"9.57407407407407"
"01";"BDMA0080";"23";".";"6.30434782608695"
"01";"BEFA0070";"13";".";"1.46153846153846"
"01";"BEFA0080";"209";"88";"1.13875598086124"
"01";"BEJB0020";"12";".";"2"
"01";"BELB0010";"9580";"8865";"0.10796888141295"
"01";"BENA0020";"69";"32";"1.23076923076923"
"01";"BFEA0010";"29";"17";"0.72413793103448"
"01";"BFGA0010";"25";"19";"1"
"01";"BFGA0020";"63";"29";"1.12698412698412"
"01";"BFGA0040";"10784";"9751";"0.16970091027308"
"01";"BFGA0050";"17";".";"1"
"01";"BFGA0060";"12";".";"2"
"01";"BFGA0080";"18";"12";"1"
"01";"BFGA0100";"19";".";"1.10526315789473"
"01";"BFKA0010";"23";"13";"1.04347826086956"
"01";"BFLA0010";"29";"14";"0.86206896551724"
"01";"BFLA0030";"46";"31";"0.78260869565217"
"01";"BFQM0010";"324";"301";"0.19135802469135"
"01";"BGDA0020";"11";".";"3.27272727272727"
"01";"BGFA0010";"30";".";"2"
"01";"BGFA0050";"166";"83";"1.12048192771084"
"01";"BGFA0080";"50";".";"2.04"
"01";"BGFA0090";"20";".";"2.31578947368421"
"01";"BGFA0110";"14";".";"1.21428571428571"
"01";"BGFA0140";"32";"32";"0"
"01";"BGGA0050";"75";"23";"1.42666666666666"
"01";"BGLB0010";"691";"600";"0.37885462555066"
"01";"BGMA0010";"16";".";"1.86666666666666"
"01";"BGMA0020";"371";"115";"1.72432432432432"
"01";"BGPA0020";"80";"48";"0.7125"
"01";"BGQP0020";"1288";"642";"3.18720379146919"
"01";"BGQP0030";"86";".";"41.58"
"01";"BGQP0090";"25";".";"20.5"
"01";"BHGA0060";"21";".";"4.42857142857142"
"01";"BHQB0010";"18";".";"1.38888888888888"
"01";"BJMA0030";"23";"19";"0.26086956521739"
"01";"BJMA0050";"37";"15";"1.02777777777777"
"01";"BJMA0060";"11";"11";"0"
"01";"BLQP0100";"78";"34";"4.44285714285714"
"01";"BZQK0010";"11";".";"4.33333333333333"
"01";"BZQP0020";"67";"40";"15.1935483870967"
"01";"BZQX0040";"27";"26";"0.07407407407407"
"01";"CAFA0020";"22";"20";"0"
