"reg";"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"01";"AAFA0020";"49";".";"13.8775510204081"
"01";"AAJA0030";"13";".";"20.7692307692307"
"01";"AAJA0040";"25";".";"19.9166666666666"
"01";"AAQM0020";"1820";".";"24.0744234800838"
"01";"AAQP0030";"74";".";"30.1428571428571"
"01";"AAQP0060";"215";"53";"8.47428571428571"
"01";"AAQP0070";"1474";"112";"12.4847583643122"
"01";"AAQP0110";"685";".";"29.4046610169491"
"01";"ABCA0020";"51";".";"25.7272727272727"
"01";"ABCB0010";"93";".";"26.7012987012987"
"01";"ABJA0020";"44";".";"22.7317073170731"
"01";"ABJA0030";"112";".";"8.51851851851852"
"01";"ABJA0050";"11";".";"13.4545454545454"
"01";"ABJA0060";"22";".";"7.45"
"01";"ABLB0030";"23";".";"23.3333333333333"
"01";"ABQP0010";"492";".";"33.016129032258"
"01";"ACHB0010";"12";".";"18.0833333333333"
"01";"ACQH0010";"495";".";"14.1525423728813"
"01";"ACQH0020";"134";"12";"21.5378787878787"
"01";"ACQH0030";"1479";"32";"15.157780979827"
"01";"ACQH0040";"387";"11";"11.3614775725593"
"01";"ACQJ0020";"1097";"297";"14.5159045725646"
"01";"ACQK0010";"8987";"217";"12.2190476190476"
"01";"ACQL0010";"11";".";"12"
"01";"ACQN0010";"2340";"345";"15.0516759776536"
"01";"ACQN0040";"420";"19";"15.9925558312655"
"01";"ACQP0020";"85";".";"12.75"
"01";"AEQM0010";"20";".";"13.95"
"01";"AFCA0040";"17";".";"17"
"01";"AFFA0100";"28";".";"22.576923076923"
"01";"AFHB0020";"550";"143";"11.7296222664015"
"01";"AFLB0010";"24";".";"6.47368421052631"
"01";"AFLB0030";"26";"20";"1.57692307692307"
"01";"AFLB0060";"33";"33";"0"
"01";"AFLB0070";"37";".";"5.13636363636363"
"01";"AFLB0080";"30";".";"5.86666666666666"
"01";"AFLB0100";"4628";".";"4.96011333914559"
"01";"AFLB0170";"100";".";"14.0681818181818"
"01";"AFLH0010";"274";"228";"0.6865671641791"
"01";"AGLB0010";"901";"579";"1.40023201856148"
"01";"AGMA0010";"23";".";"15.590909090909"
"01";"AHCA0090";"11";".";"3.81818181818181"
"01";"AHCA0120";"15";".";"3.33333333333333"
"01";"AHCA0160";"15";".";"4.26666666666666"
"01";"AHCA0180";"22";".";"3.04545454545454"
"01";"AHCA0230";"41";".";"1.55"
"01";"AHLB0090";"97";".";"7.5"
"01";"AHLB0120";"11";".";"24.7272727272727"
"01";"AHLB0130";"11";".";"18.5454545454545"
"01";"AHLB0150";"13";".";"14"
"01";"AHLH0140";"343";"324";"0.20234604105571"
"01";"AHPA0090";"911";"861";"0.14395604395604"
"01";"AHPA0210";"14";".";"1.5"
"01";"AHPA0220";"65";"51";"0.43076923076923"
"01";"AHPA0280";"55";"27";"0.85185185185185"
"01";"AHPC0010";"50";"49";"0.02"
"01";"AHQB0240";"54";".";"10.2549019607843"
"01";"AHQB0320";"409";".";"4.59657701711491"
"01";"AHQB0330";"817";"12";"3.86436498150431"
