reg;acte;nb_sejsea;nb_actes;dms_globale;nb_sej_0_nuit;nb_acte_ambu
1;AAFA0020;50;52;17,72;.;.
1;AAJA0010;12;13;20,75;.;.
1;AAJA0040;18;19;13,78;.;.
1;AAQM0020;912;2162;29,91;.;.
1;AAQP0030;19;58;34,53;.;.
1;AAQP0060;119;120;3,20;74;75
1;AAQP0070;624;663;10,34;101;102
1;AAQP0100;17;18;1,76;.;.
1;AAQP0110;830;1219;22,11;.;.
1;AAQP1290;128;171;14,85;.;.
1;AAQP3500;854;929;11,32;46;46
1;ABCA0010;13;13;13,46;.;.
1;ABCA0020;39;42;23,03;.;.
1;ABCA0030;16;16;16,75;.;.
1;ABCB0010;82;201;22,90;.;.
1;ABCC0010;22;22;15,95;.;.
1;ABGA0020;11;14;29,27;.;.
1;ABJA0020;54;57;12,00;.;.
1;ABJA0030;81;89;8,89;.;.
1;ABJA0060;29;29;9,59;.;.
1;ABLB0030;39;53;21,33;.;.
1;ABMA0030;14;16;12,43;.;.
1;ABQP0010;122;569;17,60;.;.
1;ACQH0010;611;647;11,85;19;19
1;ACQH0020;173;174;16,98;14;14
1;ACQH0030;1344;1404;12,72;85;86
1;ACQH0040;256;259;9,42;12;12
1;ACQJ0010;13;13;3,08;.;.
1;ACQJ0020;1243;1340;14,21;268;274
1;ACQK0010;6795;8156;10,96;470;474
1;ACQN0010;2431;2586;12,94;348;359
1;ACQN0020;32;32;0,00;32;32
1;ACQN0040;731;765;12,92;58;59
1;ACQP0020;151;160;15,81;.;.
1;AEQM0010;15;16;22,13;.;.
1;AFCA0040;11;13;23,91;.;.
1;AFFA0100;55;55;15,16;.;.
1;AFHB0020;644;701;13,79;158;160
1;AFJA0040;13;13;17,31;.;.
1;AFLB0010;25;29;4,08;.;.
1;AFLB0030;57;62;0,82;50;50
1;AFLB0060;27;27;1,89;23;23
1;AFLB0070;31;46;6,26;.;.
1;AFLB0080;186;192;6,39;.;.
1;AFLB0100;6531;6576;4,58;.;.
1;AFLB0130;29;29;0,34;27;27
1;AFLB0170;57;116;15,77;.;.
1;AFLH0010;215;221;0,39;195;197
1;AFPA0010;18;22;25,67;.;.
1;AGLB0010;1355;1397;1,51;869;870
1;AGMA0010;20;20;20,20;.;.
1;AHCA0090;11;11;4,82;.;.
1;AHCA0120;13;13;3,85;.;.
1;AHCA0150;12;12;1,08;.;.
1;AHCA0160;18;19;2,78;.;.
1;AHCA0230;89;91;0,93;36;37
1;AHEA0160;20;20;0,15;19;19
1;AHLB0090;32;32;2,50;.;.
1;AHLB0120;17;17;18,82;.;.
1;AHLH0140;714;714;0,26;675;675
1;AHPA0090;809;811;0,08;780;781
1;AHPA0210;13;13;0,15;11;11
1;AHPA0220;74;74;0,51;61;61
1;AHPA0230;11;11;0,73;.;.
1;AHPA0280;179;182;0,47;125;125
1;AHPC0010;209;209;0,01;207;207
1;AHQB0250;87;97;3,33;.;.
1;AHQB0260;12;12;4,08;.;.
1;AHQB0320;180;180;4,10;.;.
1;AHQB0330;973;976;2,97;262;262
1;AHQJ0210;5042;5067;1,71;3076;3076
1;AHQP0010;504;507;4,13;291;291
1;AHQP0030;20;20;5,45;.;.
1;ALQP0030;2323;2527;2,86;981;1120
1;ALQP0040;195;209;1,61;116;130
1;ALQP0050;311;312;1,23;297;297
1;ALQP0060;2233;2469;2,62;1231;1374
1;AMQP0090;62;88;1,77;.;.
1;AMQP0120;412;532;1,67;.;.
1;AMQP0130;408;419;1,03;.;.
1;AMQP0140;105;105;3,30;.;.
1;ANLP0020;32;44;0,00;32;44
1;ANMP0010;164;433;12,92;.;.
1;ANRP0010;48;65;0,00;48;65
1;AZQP0020;2758;2795;4,46;.;.
1;AZQX0050;109;130;15,98;.;.
1;AZRP0010;215;215;0,00;215;215
1;BABA0010;12;13;0,33;.;.
1;BACA0020;29;29;3,79;.;.
1;BACA0080;13;13;2,77;.;.
1;BADA0070;22;22;0,23;19;19
1;BAEA0010;20;21;0,15;18;19
1;BAEA0020;13;13;0,00;13;13
1;BAFA0050;11;12;0,00;11;12
1;BAFA0060;26;26;0,15;24;24
1;BAFA0080;14;14;0,29;12;12
1;BAFA0090;13;13;1,15;.;.
1;BAMA0040;28;32;0,04;27;31
1;BBCA0030;13;13;0,69;.;.
1;BCFA0030;531;537;0,01;524;529
1;BCFA0050;38;38;0,00;38;38
1;BCFA0080;15;15;0,00;15;15
1;BCLB0010;24;24;0,92;20;20
1;BDCA0040;12;13;2,42;.;.
1;BDFA0020;51;51;0,00;51;51
1;BDHP0010;39;40;8,46;.;.
