"reg";"acte";"nb_sejsea";"nb_actes";"dms_globale";"nb_sej_0_nuit";"nb_acte_ambu"
"01";"AAFA0020";"74";"78";"13.8783783783783";".";"."
"01";"AAJA0010";"16";"19";"32.375";".";"."
"01";"AAJA0040";"23";"24";"22.8695652173913";".";"."
"01";"AAJA0060";"14";"16";"23.5714285714285";".";"."
"01";"AAQM0020";"978";"2265";"28.40081799591";".";"."
"01";"AAQP0030";"30";"53";"34.2";".";"."
"01";"AAQP0060";"100";"103";"1.65";"64";"65"
"01";"AAQP0070";"274";"290";"7.50729927007299";"97";"98"
"01";"AAQP0110";"581";"771";"20.8485370051635";".";"."
"01";"AAQP1290";"67";"68";"6.01492537313433";".";"."
"01";"AAQP3500";"972";"1176";"14.3539094650205";"35";"35"
"01";"ABCA0020";"43";"51";"21.1162790697674";".";"."
"01";"ABCB0010";"73";"162";"25.3561643835616";".";"."
"01";"ABGA0020";"13";"14";"23.6923076923076";".";"."
"01";"ABJA0020";"43";"44";"12.3023255813953";".";"."
"01";"ABJA0030";"90";"93";"9.31111111111111";".";"."
"01";"ABJA0050";"12";"12";"24.8333333333333";".";"."
"01";"ABJA0060";"17";"17";"11.8235294117647";".";"."
"01";"ABJA0080";"12";"14";"25.4166666666666";".";"."
"01";"ABLB0030";"42";"61";"23.7380952380952";".";"."
"01";"ABMA0030";"13";"13";"19.3076923076923";".";"."
"01";"ABQP0010";"152";"666";"18.6973684210526";".";"."
"01";"ACQH0020";"190";"195";"20.078947368421";".";"."
"01";"ACQH0030";"1487";"1550";"12.9979825151311";"131";"131"
"01";"ACQH0040";"325";"330";"8.77230769230769";"23";"23"
"01";"ACQJ0010";"19";"19";"10.7894736842105";".";"."
"01";"ACQJ0020";"1379";"1509";"13.1298042059463";"367";"378"
"01";"ACQK0010";"7304";"8506";"10.5398411829134";"643";"653"
"01";"ACQN0010";"2538";"2677";"12.5397951142632";"384";"388"
"01";"ACQN0040";"573";"589";"12.5933682373472";"93";"94"
"01";"ACQP0020";"195";"220";"15.5179487179487";".";"."
"01";"ADPA0040";"16";"16";"0";"16";"16"
"01";"AEQM0010";"23";"24";"15.0869565217391";".";"."
"01";"AFFA0050";"11";"11";"8.81818181818182";".";"."
"01";"AFFA0100";"43";"43";"11.1395348837209";".";"."
"01";"AFHB0020";"583";"635";"10.7409948542024";"228";"228"
"01";"AFLB0010";"17";"17";"3.35294117647058";".";"."
"01";"AFLB0030";"43";"47";"0.60465116279069";"34";"34"
"01";"AFLB0060";"20";"20";"0.75";"19";"19"
"01";"AFLB0070";"56";"86";"7.41071428571428";".";"."
"01";"AFLB0080";"269";"271";"5.22304832713754";".";"."
"01";"AFLB0100";"6410";"6460";"4.5374414976599";".";"."
"01";"AFLB0170";"11";"24";"15.6363636363636";".";"."
"01";"AFLH0010";"174";"176";"0.43103448275862";"163";"164"
"01";"AGLB0010";"1261";"1273";"1.4781919111816";"833";"834"
"01";"AHCA0120";"11";"11";"2.18181818181818";".";"."
"01";"AHCA0180";"18";"18";"2.61111111111111";".";"."
"01";"AHCA0230";"88";"91";"1.02272727272727";"40";"42"
"01";"AHLB0090";"48";"126";"7.4375";".";"."
"01";"AHLB0120";"38";"40";"17.9473684210526";".";"."
"01";"AHLH0140";"641";"641";"0.27457098283931";"622";"622"
"01";"AHPA0090";"850";"850";"0.08117647058823";"807";"807"
"01";"AHPA0220";"94";"94";"0.56382978723404";"80";"80"
"01";"AHPA0270";"12";"12";"4";".";"."
"01";"AHPA0280";"194";"194";"0.5721649484536";"138";"138"
"01";"AHPC0010";"215";"215";"0";"215";"215"
"01";"AHQB0250";"143";"143";"3.44755244755244";".";"."
"01";"AHQB0260";"15";"15";"3.26666666666666";".";"."
"01";"AHQB0320";"202";"202";"3.83663366336633";".";"."
"01";"AHQB0330";"939";"948";"3.5356762513312";"117";"117"
"01";"AHQJ0210";"5908";"5951";"1.75609343263371";"3451";"3456"
"01";"AHQP0010";"270";"270";"3.33333333333333";"173";"173"
"01";"AHQP0030";"34";"34";"4.11764705882352";".";"."
"01";"ALQP0030";"2742";"3437";"2.27972283005105";"1184";"1582"
"01";"ALQP0040";"591";"612";"1.11675126903553";"426";"447"
"01";"ALQP0050";"571";"574";"0.47285464098073";"557";"560"
"01";"ALQP0060";"2777";"3549";"2.09794742527907";"1703";"2108"
"01";"AMQP0090";"181";"345";"1.84530386740331";".";"."
"01";"AMQP0120";"404";"533";"1.64851485148514";".";"."
"01";"AMQP0130";"416";"440";"0.99759615384615";".";"."
"01";"AMQP0140";"119";"121";"3.26890756302521";".";"."
"01";"ANLP0020";"33";"52";"0";"33";"52"
"01";"ANMP0010";"155";"271";"10.3032258064516";".";"."
"01";"ANRP0010";"57";"86";"0";"57";"86"
"01";"AZQP0020";"2257";"2268";"4.87151085511741";".";"."
"01";"AZQX0050";"128";"156";"14.015625";".";"."
"01";"AZRP0010";"179";"179";"0.34636871508379";"178";"178"
"01";"BABA0010";"28";"28";"0.17857142857142";"24";"24"
"01";"BACA0020";"16";"16";"3.3125";".";"."
"01";"BACA0050";"12";"13";"5.66666666666666";".";"."
"01";"BADA0070";"12";"12";"0.16666666666666";".";"."
"01";"BAEA0010";"12";"13";"4.25";".";"."
"01";"BAFA0040";"14";"14";"0.07142857142857";"13";"13"
"01";"BAFA0060";"24";"24";"0.08333333333333";"22";"22"
"01";"BAFA0090";"15";"15";"0.73333333333333";".";"."
"01";"BAFA0130";"14";"17";"0.21428571428571";"12";"15"
"01";"BAMA0040";"23";"23";"0.56521739130434";".";"."
"01";"BBQP0010";"12";"17";"4.5";".";"."
"01";"BCFA0030";"542";"546";"0.00922509225092";"537";"541"
"01";"BCFA0050";"27";"27";"0";"27";"27"
"01";"BCFA0060";"11";"11";"0";"11";"11"
"01";"BCFA0080";"14";"14";"0";"14";"14"
"01";"BCLB0010";"59";"60";"1.3728813559322";"46";"46"
"01";"BDCA0040";"18";"18";"5.16666666666666";".";"."
"01";"BDFA0020";"39";"39";"0";"39";"39"
"01";"BDHA0010";"21";"21";"7.14285714285714";".";"."
"01";"BDHP0010";"47";"48";"8.14893617021276";".";"."
"01";"BDMA0060";"68";"71";"1.72058823529411";"58";"60"
"01";"BDQP0030";"70";"70";"8.34285714285714";"20";"20"
"01";"BEFA0080";"134";"134";"0.29850746268656";"97";"97"
"01";"BELB0010";"608";"609";"0.05592105263157";"595";"596"
"01";"BENA0020";"93";"105";"0.04301075268817";"91";"102"
"01";"BFEA0010";"15";"15";"0.33333333333333";"11";"11"
"01";"BFGA0020";"58";"61";"0.22413793103448";"53";"56"
"01";"BFGA0080";"26";"26";"0.69230769230769";"14";"14"
"01";"BFGA3680";"38";"38";"0";"38";"38"
"01";"BFGA4270";"9140";"9151";"0.02844638949671";"8944";"8955"
"01";"BFKA0010";"13";"13";"0.07692307692307";"12";"12"
"01";"BFLA0030";"74";"74";"0.25675675675675";"65";"65"
"01";"BFQM0010";"141";"141";"0.49645390070921";"132";"132"
"01";"BGBA0020";"31";"31";"0.06451612903225";"30";"30"
"01";"BGFA0010";"28";"28";"0.85714285714285";".";"."
"01";"BGFA0050";"100";"100";"0.27";"83";"83"
"01";"BGFA0080";"15";"15";"0.13333333333333";"14";"14"
"01";"BGFA0110";"103";"104";"0.2135922330097";"92";"93"
"01";"BGFA0140";"13";"13";"0";"13";"13"
"01";"BGGA0050";"69";"70";"0.4927536231884";"56";"56"
"01";"BGLB0010";"170";"184";"1.37058823529411";"128";"130"
"01";"BGMA0020";"305";"308";"0.45901639344262";"208";"209"
"01";"BGPA0010";"138";"138";"0.2463768115942";"116";"116"
"01";"BGPA0020";"63";"63";"0.14285714285714";"57";"57"
"01";"BGQP0020";"761";"790";"7.60840998685939";"356";"357"
"01";"BGQP0030";"85";"94";"15.3882352941176";"43";"43"
"01";"BGQP0040";"66";"89";"50";".";"."
"01";"BGQP0060";"194";"194";"0.69587628865979";"172";"172"
"01";"BGQP0070";"1625";"1635";"1.81846153846153";"1146";"1146"
"01";"BHGA0060";"18";"18";"3.05555555555555";".";"."
"01";"BHMA0020";"25";"25";"2.92";".";"."
"01";"BHQB0010";"24";"24";"0.08333333333333";"22";"22"
"01";"BJMA0030";"33";"33";"0";"33";"33"
"01";"BJQP0050";"13";"13";"4.38461538461538";".";"."
"01";"BLQP0040";"41";"44";"9.58536585365853";"12";"12"
"01";"BLQP0100";"454";"484";"6.46255506607929";"178";"182"
"01";"BZQK0010";"270";"385";"6.89629629629629";"111";"153"
"01";"BZQM0010";"2875";"2880";"0.09147826086956";"2768";"2769"
"01";"CAFA0020";"22";"22";"0.09090909090909";"21";"21"
"01";"CAFA0050";"74";"77";"0.16216216216216";"70";"73"
"01";"CAGD0010";"36";"37";"3.36111111111111";"24";"24"
"01";"CALD0010";"16";"19";"3.1875";".";"."
"01";"CAMA0130";"17";"17";"0.05882352941176";"16";"16"
"01";"CAMA0220";"88";"107";"0.14772727272727";"85";"103"
"01";"CBLD0010";"28";"28";"0.10714285714285";"26";"26"
"01";"CBLD0030";"12";"12";"0.08333333333333";"11";"11"
"01";"CBMA0090";"13";"13";"1.23076923076923";".";"."
"01";"CBQE0010";"20";"20";"3.65";".";"."
"01";"CDQP0020";"266";"268";"3.05263157894736";"36";"36"
"01";"CDQP0060";"241";"244";"16.1742738589211";".";"."
"01";"CDQP0090";"296";"314";"13.6858108108108";".";"."
"01";"CDQP0170";"13";"13";"7.92307692307692";".";"."
"01";"CDRP0010";"23";"23";"3.7391304347826";".";"."
"01";"CDRP0020";"2373";"2387";"4.09692372524231";".";"."
"01";"CERP0020";"14";"15";"8.64285714285714";".";"."
"01";"DAHF0010";"18";"18";"7.66666666666666";".";"."
"01";"DAQL0090";"42";"42";"16.7142857142857";".";"."
"01";"DAQL0100";"16";"16";"16.1875";".";"."
"01";"DAQL0140";"102";"102";"12.4215686274509";".";"."
"01";"DAQM9000";"119";"135";"16.2521008403361";".";"."
"01";"DBKA0090";"14";"14";"32.7142857142857";".";"."
"01";"DBKA0100";"23";"24";"29.6521739130434";".";"."
"01";"DBLF0010";"11";"13";"10.9090909090909";".";"."
"01";"DBMA0030";"32";"32";"25.0625";".";"."
"01";"DCJA0010";"40";"42";"28.175";".";"."
"01";"DCJB0010";"20";"33";"12.85";".";"."
"01";"DCMA0010";"11";"11";"11.7272727272727";".";"."
"01";"DDAF0010";"21";"21";"9.71428571428571";".";"."
"01";"DDAF0040";"58";"58";"6.89655172413793";".";"."
"01";"DDAF0060";"304";"320";"7.09210526315789";".";"."
"01";"DDAF0070";"56";"58";"6.03571428571428";".";"."
"01";"DDAF0080";"422";"468";"5.35545023696682";".";"."
"01";"DDAF0100";"48";"62";"5.27083333333333";".";"."
"01";"DDMA0090";"12";"12";"13.0833333333333";".";"."
"01";"DDMA0110";"26";"26";"20.1538461538461";".";"."
"01";"DDMA0180";"34";"34";"17.3823529411764";".";"."
"01";"DDQF2020";"54";"55";"2.57407407407407";".";"."
"01";"DDQH0090";"2000";"2075";"6.054";"106";"107"
"01";"DDQH0120";"43";"46";"9.41860465116279";".";"."
"01";"DDQH0130";"39";"42";"8.1025641025641";".";"."
"01";"DEKA0010";"135";"138";"2.89629629629629";".";"."
"01";"DEKA0020";"35";"36";"3.02857142857142";".";"."
